==1729== NVPROF is profiling process 1729, command: python GNNA_main.py --dataset citeseer --dim 3703 --hidden 16 --classes 6 --partSize 32 --model gcn --warpPerBlock 8 --manual_mode False --verbose_mode False --enable_rabbit True --loadFromTxt False
==1729== Profiling application: python GNNA_main.py --dataset citeseer --dim 3703 --hidden 16 --classes 6 --partSize 32 --model gcn --warpPerBlock 8 --manual_mode False --verbose_mode False --enable_rabbit True --loadFromTxt False
==1729== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,ms,
"GPU activities",26.200691,41.455053,420,98.702000,6.368000,0.195678,"volta_sgemm_32x32_sliced1x4_nn"
"GPU activities",14.670607,23.212014,210,110.533000,102.879000,0.118367,"volta_sgemm_128x64_tn"
"GPU activities",14.256787,22.557262,210,107.415000,100.031000,0.113247,"volta_sgemm_32x128_nt"
"GPU activities",9.320537,14.747068,210,70.224000,60.960000,0.076288,"volta_sgemm_32x32_sliced1x4_nt"
"GPU activities",8.056191,12.746604,210,60.698000,54.464000,0.065055,"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)"
"GPU activities",4.314730,6.826818,210,32.508000,28.416000,0.035680,"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)"
"GPU activities",3.657650,5.787178,420,13.778000,10.464000,0.020863,"void spmm_forward_cuda_kernel<float>(at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<float, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, int, int, int, int, int, int)"
"GPU activities",3.189834,5.046994,15,336.466000,1.280000,5.001683,"[CUDA memcpy HtoD]"
"GPU activities",2.809675,4.445502,1682,2.642000,2.144000,0.003936,"void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)"
