==2357== NVPROF is profiling process 2357, command: python GNNA_main.py --dataset citeseer --dim 3703 --hidden 64 --classes 6 --partSize 32 --model gin --warpPerBlock 2 --manual_mode False --verbose_mode True --enable_rabbit True --loadFromTxt False
==2357== Profiling application: python GNNA_main.py --dataset citeseer --dim 3703 --hidden 64 --classes 6 --partSize 32 --model gin --warpPerBlock 2 --manual_mode False --verbose_mode True --enable_rabbit True --loadFromTxt False
==2357== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,ms,
"GPU activities",41.617363,549.262350,1000,549.262000,11.168000,3.289572,"void spmm_forward_cuda_kernel_gin<float>(at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, float, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, int, int, int, int, int, int)"
"GPU activities",40.745771,537.759151,1000,537.759000,8.800000,3.232068,"void spmm_backward_cuda_kernel_gin<float>(at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<float, unsigned long=2, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, float, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, at::GenericPackedTensorAccessor<int, unsigned long=1, at::RestrictPtrTraits, int>, int, int, int, int, int, int)"
"GPU activities",4.106970,54.203428,200,271.017000,267.133000,0.296701,"volta_sgemm_64x64_nn"
"GPU activities",3.201684,42.255546,3400,12.428000,1.887000,0.092447,"void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)"
"GPU activities",2.785100,36.757503,200,183.787000,170.367000,0.233790,"volta_sgemm_128x128_tn"
"GPU activities",2.096907,27.674798,200,138.373000,129.823000,0.190846,"volta_sgemm_64x64_nt"
"GPU activities",0.756888,9.989344,200,49.946000,47.520000,0.065311,"void cunn_ClassNLLCriterion_updateOutput_kernel<float, float>(float*, float*, float*, long*, float*, int, int, int, int, long)"
"GPU activities",0.645270,8.516212,3000,2.838000,2.016000,0.006592,"void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)"
"GPU activities",0.470929,6.215284,1600,3.884000,3.072000,0.005920,"_ZN2at6native29vectorized_elementwise_kernelILi4EZNS0_21threshold_kernel_implIfEEvRNS_14TensorIteratorET_S5_EUlffE_NS_6detail5ArrayIPcLi3EEEEEviT0_T1_"
"GPU activities",0.462450,6.103370,2000,3.051000,2.207000,0.008512,"void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float>, at::detail::Array<char*, int=3>>(int, float, at::native::AddFunctor<float>)"
"GPU activities",0.443508,5.853379,600,9.755000,8.480000,0.013984,"volta_sgemm_64x32_sliced1x4_nt"
"GPU activities",0.435850,5.752310,800,7.190000,4.320000,0.011360,"volta_sgemm_32x128_tn"
"GPU activities",0.388890,5.132532,200,25.662000,23.999000,0.043615,"void cunn_ClassNLLCriterion_updateGradInput_kernel<float>(float*, float*, long*, float*, float*, int, int, int, int, long)"
"GPU activities",0.368644,4.865338,600,8.108000,7.424000,0.011776,"volta_sgemm_32x128_nn"
"GPU activities",0.252918,3.337985,1000,3.337000,2.496000,0.006367,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_19addcdiv_cuda_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfffE_NS_6detail5ArrayIPcLi4EEEEEviT0_T1_"
"GPU activities",0.197882,2.611625,1000,2.611000,2.175000,0.004736,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_16sqrt_kernel_cudaERNS_14TensorIteratorEENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_"
"GPU activities",0.195575,2.581188,1000,2.581000,2.079000,0.005376,"_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_19addcmul_cuda_kernelERNS_14TensorIteratorEN3c106ScalarEENKUlvE_clEvENKUlvE6_clEvEUlfffE_NS_6detail5ArrayIPcLi4EEEEEviT0_T1_"
"GPU activities",0.184289,2.432235,800,3.040000,2.624000,0.004544,"void splitKreduce_kernel<float, float, float, float>(cublasSplitKParams<float>, float const *, float const *, float*, float const *, float const *, float const *)"
"GPU activities",0.183645,2.423729,1000,2.423000,2.048000,0.004384,"void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::AddFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::AddFunctor<float>)"
"GPU activities",0.157800,2.082631,200,10.413000,9.728000,0.014784,"volta_sgemm_32x128_nt"
"GPU activities",0.108569,1.432887,200,7.164000,6.624000,0.010080,"volta_sgemm_32x32_sliced1x4_nn"
"GPU activities",0.071235,0.940153,600,1.566000,1.087000,0.003456,"[CUDA memset]"
"GPU activities",0.045845,0.605054,200,3.025000,2.528000,0.004544,"void _GLOBAL__N__54_tmpxft_000062e7_00000000_13_SoftMax_compute_86_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)"
"GPU activities",0.039822,0.525566,200,2.627000,2.400000,0.003744,"void _GLOBAL__N__54_tmpxft_000062e7_00000000_13_SoftMax_compute_86_cpp1_ii_a3310042::softmax_warp_backward<float, float, float, int=3, bool=1>(float*, float const *, float const , int, int, int)"
"GPU activities",0.036197,0.477724,200,2.388000,2.176000,0.003424,"[CUDA memcpy DtoD]"
"API calls",92.121782,860.903035,20600,41.791000,4.538000,3.735780,"cudaLaunchKernel"
"API calls",5.408974,50.548331,122800,0.411000,0.300000,0.310444,"cudaGetDevice"
"API calls",0.772913,7.223081,600,12.038000,6.221000,0.346061,"cudaMemsetAsync"
"API calls",0.494401,4.620311,21000,0.220000,0.140000,0.314331,"cudaGetLastError"
"API calls",0.456770,4.268640,4000,1.067000,0.531000,0.010430,"cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags"
"API calls",0.287153,2.683525,200,13.417000,10.469000,0.366559,"cudaMemcpyAsync"
"API calls",0.241970,2.261275,1200,1.884000,1.703000,0.012694,"cudaEventRecord"
"API calls",0.214399,2.003614,1200,1.669000,1.443000,0.008906,"cudaEventQuery"
"API calls",0.001638,0.015308,1,15.308000,15.308000,0.015308,"cuDeviceGetCount"
